"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Alaska","16 to 20",2008-01-01,37,147,6,33548
"Alaska","<1",2013-01-01,194,29,4,11314
"Alaska","1 to 5",2013-01-01,393,370,181,55018
"Alaska","6 to 10",2013-01-01,237,221,97,51427
"Alaska","11 to 15",2013-01-01,156,134,37,50576
"Alaska","16 to 20",2013-01-01,38,106,9,29545
"Alaska","<1",2018-01-01,255,26,NA,10331
"Alaska","1 to 5",2018-01-01,414,466,167,52998
"Alaska","6 to 10",2018-01-01,365,369,124,51872
"Alaska","11 to 15",2018-01-01,243,230,47,48900
"Alaska","16 to 20",2018-01-01,60,157,15,27989
"Alaska","16 to 20",2009-01-01,38,135,10,32787
"Alaska","11 to 15",2009-01-01,129,139,49,51128
"Alaska","6 to 10",2009-01-01,212,256,103,50040
"Alaska","1 to 5",2009-01-01,369,365,164,52169
"Alaska","<1",2009-01-01,179,20,3,11076
"Alaska","<1",2010-01-01,167,30,7,11050
"Alaska","1 to 5",2010-01-01,346,375,150,53661
"Alaska","6 to 10",2010-01-01,207,249,112,51295
"Alaska","11 to 15",2010-01-01,141,175,56,50715
"Alaska","16 to 20",2010-01-01,43,92,13,31692
"Alaska","<1",2015-01-01,274,36,5,11292
"Alaska","1 to 5",2015-01-01,572,412,188,54676
"Alaska","6 to 10",2015-01-01,386,262,99,51249
"Alaska","11 to 15",2015-01-01,235,172,56,49459
"Alaska","16 to 20",2015-01-01,46,124,9,28682
"Alaska","<1",2020-01-01,245,37,2,9566
"Alaska","1 to 5",2020-01-01,415,472,160,49629
"Alaska","6 to 10",2020-01-01,332,382,114,50916
"Alaska","11 to 15",2020-01-01,291,279,72,49844
"Alaska","16 to 20",2020-01-01,69,168,6,27974
"Alaska","<1",2011-01-01,173,23,3,11715
"Alaska","1 to 5",2011-01-01,341,362,156,54182
"Alaska","11 to 15",2011-01-01,161,148,55,50881
"Alaska","16 to 20",2011-01-01,38,66,3,30761
"Alaska","6 to 10",2011-01-01,211,186,77,50991
"Alaska","<1",2012-01-01,169,21,2,11108
"Alaska","1 to 5",2012-01-01,381,370,161,54810
"Alaska","6 to 10",2012-01-01,208,236,92,51243
"Alaska","11 to 15",2012-01-01,143,133,46,50917
"Alaska","16 to 20",2012-01-01,28,61,8,30095
"Alaska","<1",2014-01-01,195,22,5,11391
"Alaska","1 to 5",2014-01-01,444,353,179,54562
"Alaska","6 to 10",2014-01-01,286,267,111,51319
"Alaska","11 to 15",2014-01-01,189,169,63,49941
"Alaska","16 to 20",2014-01-01,48,108,9,29023
"Alaska","<1",2016-01-01,254,28,1,11258
"Alaska","1 to 5",2016-01-01,469,437,155,54855
"Alaska","6 to 10",2016-01-01,341,281,107,51727
"Alaska","11 to 15",2016-01-01,209,173,38,49379
"Alaska","16 to 20",2016-01-01,63,125,12,28838
"Alaska","6 to 10",2017-01-01,329,388,131,52063
"Alaska","16 to 20",2017-01-01,57,151,11,28562
"Alaska","11 to 15",2017-01-01,224,247,55,49107
"Alaska","1 to 5",2017-01-01,472,514,169,54146
"Alaska","<1",2017-01-01,246,41,NA,10737
"Alaska","<1",2019-01-01,252,46,2,9821
"Alaska","1 to 5",2019-01-01,534,488,178,51845
"Alaska","6 to 10",2019-01-01,385,373,122,51451
"Alaska","11 to 15",2019-01-01,269,277,78,48596
